image_id,attack_type,hamming_distance
000000,QPP_Self_Decoded,42
000001,QPP_Self_Decoded,77
000002,QPP_Self_Decoded,62
000003,QPP_Self_Decoded,87
000004,QPP_Self_Decoded,53
000005,QPP_Self_Decoded,48
000006,QPP_Self_Decoded,52
000007,QPP_Self_Decoded,70
000008,QPP_Self_Decoded,57
000009,QPP_Self_Decoded,63
000010,QPP_Self_Decoded,51
000011,QPP_Self_Decoded,65
000012,QPP_Self_Decoded,63
000013,QPP_Self_Decoded,27
000014,QPP_Self_Decoded,58
000015,QPP_Self_Decoded,67
000016,QPP_Self_Decoded,70
000017,QPP_Self_Decoded,52
000018,QPP_Self_Decoded,68
000019,QPP_Self_Decoded,59
000020,QPP_Self_Decoded,70
000021,QPP_Self_Decoded,66
000022,QPP_Self_Decoded,79
000023,QPP_Self_Decoded,45
000024,QPP_Self_Decoded,75
000025,QPP_Self_Decoded,64
000026,QPP_Self_Decoded,66
000027,QPP_Self_Decoded,78
000028,QPP_Self_Decoded,56
000029,QPP_Self_Decoded,52
000030,QPP_Self_Decoded,58
000031,QPP_Self_Decoded,87
000032,QPP_Self_Decoded,70
000033,QPP_Self_Decoded,58
000034,QPP_Self_Decoded,59
000035,QPP_Self_Decoded,55
000036,QPP_Self_Decoded,34
000037,QPP_Self_Decoded,39
000038,QPP_Self_Decoded,85
000039,QPP_Self_Decoded,67
000040,QPP_Self_Decoded,65
000041,QPP_Self_Decoded,72
000042,QPP_Self_Decoded,43
000043,QPP_Self_Decoded,37
000044,QPP_Self_Decoded,80
000045,QPP_Self_Decoded,82
000046,QPP_Self_Decoded,88
000047,QPP_Self_Decoded,78
000048,QPP_Self_Decoded,78
000049,QPP_Self_Decoded,87
000050,QPP_Self_Decoded,50
000051,QPP_Self_Decoded,68
000052,QPP_Self_Decoded,83
000053,QPP_Self_Decoded,77
000054,QPP_Self_Decoded,87
000055,QPP_Self_Decoded,91
000056,QPP_Self_Decoded,79
000057,QPP_Self_Decoded,60
000058,QPP_Self_Decoded,75
000059,QPP_Self_Decoded,72
000060,QPP_Self_Decoded,66
000061,QPP_Self_Decoded,80
000062,QPP_Self_Decoded,69
000063,QPP_Self_Decoded,57
000064,QPP_Self_Decoded,75
000065,QPP_Self_Decoded,47
000066,QPP_Self_Decoded,71
000067,QPP_Self_Decoded,41
000068,QPP_Self_Decoded,63
000069,QPP_Self_Decoded,81
000070,QPP_Self_Decoded,54
000071,QPP_Self_Decoded,89
000072,QPP_Self_Decoded,28
000073,QPP_Self_Decoded,62
000074,QPP_Self_Decoded,79
000075,QPP_Self_Decoded,88
000076,QPP_Self_Decoded,79
000077,QPP_Self_Decoded,70
000078,QPP_Self_Decoded,83
000079,QPP_Self_Decoded,77
000080,QPP_Self_Decoded,73
000081,QPP_Self_Decoded,78
000082,QPP_Self_Decoded,72
000083,QPP_Self_Decoded,64
000084,QPP_Self_Decoded,49
000085,QPP_Self_Decoded,78
000086,QPP_Self_Decoded,63
000087,QPP_Self_Decoded,65
000088,QPP_Self_Decoded,72
000089,QPP_Self_Decoded,60
000090,QPP_Self_Decoded,63
000091,QPP_Self_Decoded,67
000092,QPP_Self_Decoded,49
000093,QPP_Self_Decoded,52
000094,QPP_Self_Decoded,57
000095,QPP_Self_Decoded,66
000096,QPP_Self_Decoded,77
000097,QPP_Self_Decoded,85
000098,QPP_Self_Decoded,28
000099,QPP_Self_Decoded,60
000100,QPP_Self_Decoded,92
000101,QPP_Self_Decoded,66
000102,QPP_Self_Decoded,71
000103,QPP_Self_Decoded,25
000104,QPP_Self_Decoded,79
000105,QPP_Self_Decoded,54
000106,QPP_Self_Decoded,54
000107,QPP_Self_Decoded,65
000108,QPP_Self_Decoded,71
000109,QPP_Self_Decoded,80
000110,QPP_Self_Decoded,69
000111,QPP_Self_Decoded,67
000112,QPP_Self_Decoded,73
000113,QPP_Self_Decoded,39
000114,QPP_Self_Decoded,64
000115,QPP_Self_Decoded,72
000116,QPP_Self_Decoded,84
000117,QPP_Self_Decoded,55
000118,QPP_Self_Decoded,57
000119,QPP_Self_Decoded,78
000120,QPP_Self_Decoded,61
000121,QPP_Self_Decoded,51
000122,QPP_Self_Decoded,75
000123,QPP_Self_Decoded,61
000124,QPP_Self_Decoded,77
000125,QPP_Self_Decoded,77
000126,QPP_Self_Decoded,73
000127,QPP_Self_Decoded,76
000128,QPP_Self_Decoded,54
000129,QPP_Self_Decoded,69
000130,QPP_Self_Decoded,79
000131,QPP_Self_Decoded,50
000132,QPP_Self_Decoded,42
000133,QPP_Self_Decoded,50
000134,QPP_Self_Decoded,59
000135,QPP_Self_Decoded,80
000136,QPP_Self_Decoded,57
000137,QPP_Self_Decoded,77
000138,QPP_Self_Decoded,15
000139,QPP_Self_Decoded,38
000140,QPP_Self_Decoded,48
000141,QPP_Self_Decoded,61
000142,QPP_Self_Decoded,54
000143,QPP_Self_Decoded,24
000144,QPP_Self_Decoded,47
000145,QPP_Self_Decoded,66
000146,QPP_Self_Decoded,69
000147,QPP_Self_Decoded,65
000148,QPP_Self_Decoded,84
000149,QPP_Self_Decoded,75
000150,QPP_Self_Decoded,40
000151,QPP_Self_Decoded,78
000152,QPP_Self_Decoded,69
000153,QPP_Self_Decoded,81
000154,QPP_Self_Decoded,57
000155,QPP_Self_Decoded,64
000156,QPP_Self_Decoded,59
000157,QPP_Self_Decoded,36
000158,QPP_Self_Decoded,49
000159,QPP_Self_Decoded,62
000160,QPP_Self_Decoded,83
000161,QPP_Self_Decoded,80
000162,QPP_Self_Decoded,86
000163,QPP_Self_Decoded,30
000164,QPP_Self_Decoded,40
000165,QPP_Self_Decoded,64
000166,QPP_Self_Decoded,71
000167,QPP_Self_Decoded,47
000168,QPP_Self_Decoded,61
000169,QPP_Self_Decoded,65
000170,QPP_Self_Decoded,63
000171,QPP_Self_Decoded,63
000172,QPP_Self_Decoded,65
000173,QPP_Self_Decoded,55
000174,QPP_Self_Decoded,66
000175,QPP_Self_Decoded,85
000176,QPP_Self_Decoded,48
000177,QPP_Self_Decoded,66
000178,QPP_Self_Decoded,90
000179,QPP_Self_Decoded,80
000180,QPP_Self_Decoded,40
000181,QPP_Self_Decoded,69
000182,QPP_Self_Decoded,81
000183,QPP_Self_Decoded,67
000184,QPP_Self_Decoded,64
000185,QPP_Self_Decoded,38
000186,QPP_Self_Decoded,59
000187,QPP_Self_Decoded,78
000188,QPP_Self_Decoded,79
000189,QPP_Self_Decoded,39
000190,QPP_Self_Decoded,60
000191,QPP_Self_Decoded,31
000192,QPP_Self_Decoded,83
000193,QPP_Self_Decoded,70
000194,QPP_Self_Decoded,83
000195,QPP_Self_Decoded,80
000196,QPP_Self_Decoded,76
000197,QPP_Self_Decoded,80
000198,QPP_Self_Decoded,50
000199,QPP_Self_Decoded,43
000200,QPP_Self_Decoded,49
000201,QPP_Self_Decoded,89
000202,QPP_Self_Decoded,69
000203,QPP_Self_Decoded,77
000204,QPP_Self_Decoded,75
000205,QPP_Self_Decoded,66
000206,QPP_Self_Decoded,79
000207,QPP_Self_Decoded,85
000208,QPP_Self_Decoded,68
000209,QPP_Self_Decoded,59
000210,QPP_Self_Decoded,61
000211,QPP_Self_Decoded,55
000212,QPP_Self_Decoded,57
000213,QPP_Self_Decoded,56
000214,QPP_Self_Decoded,37
000215,QPP_Self_Decoded,64
000216,QPP_Self_Decoded,52
000217,QPP_Self_Decoded,59
000218,QPP_Self_Decoded,72
000219,QPP_Self_Decoded,82
000220,QPP_Self_Decoded,43
000221,QPP_Self_Decoded,71
000222,QPP_Self_Decoded,56
000223,QPP_Self_Decoded,83
000224,QPP_Self_Decoded,39
000225,QPP_Self_Decoded,56
000226,QPP_Self_Decoded,54
000227,QPP_Self_Decoded,70
000228,QPP_Self_Decoded,72
000229,QPP_Self_Decoded,32
000230,QPP_Self_Decoded,62
000231,QPP_Self_Decoded,62
000232,QPP_Self_Decoded,66
000233,QPP_Self_Decoded,34
000234,QPP_Self_Decoded,93
000235,QPP_Self_Decoded,62
000236,QPP_Self_Decoded,53
000237,QPP_Self_Decoded,80
000238,QPP_Self_Decoded,34
000239,QPP_Self_Decoded,54
000240,QPP_Self_Decoded,40
000241,QPP_Self_Decoded,72
000242,QPP_Self_Decoded,61
000243,QPP_Self_Decoded,86
000244,QPP_Self_Decoded,79
000245,QPP_Self_Decoded,51
000246,QPP_Self_Decoded,65
000247,QPP_Self_Decoded,48
000248,QPP_Self_Decoded,52
000249,QPP_Self_Decoded,67
000250,QPP_Self_Decoded,81
000251,QPP_Self_Decoded,68
000252,QPP_Self_Decoded,74
000253,QPP_Self_Decoded,40
000254,QPP_Self_Decoded,68
000255,QPP_Self_Decoded,68
000256,QPP_Self_Decoded,38
000257,QPP_Self_Decoded,63
000258,QPP_Self_Decoded,68
000259,QPP_Self_Decoded,53
000260,QPP_Self_Decoded,80
000261,QPP_Self_Decoded,83
000262,QPP_Self_Decoded,53
000263,QPP_Self_Decoded,50
000264,QPP_Self_Decoded,53
000265,QPP_Self_Decoded,85
000266,QPP_Self_Decoded,65
000267,QPP_Self_Decoded,59
000268,QPP_Self_Decoded,40
000269,QPP_Self_Decoded,76
000270,QPP_Self_Decoded,52
000271,QPP_Self_Decoded,71
000272,QPP_Self_Decoded,70
000273,QPP_Self_Decoded,59
000274,QPP_Self_Decoded,63
000275,QPP_Self_Decoded,87
000276,QPP_Self_Decoded,46
000277,QPP_Self_Decoded,45
000278,QPP_Self_Decoded,71
000279,QPP_Self_Decoded,54
000280,QPP_Self_Decoded,60
000281,QPP_Self_Decoded,62
000282,QPP_Self_Decoded,67
000283,QPP_Self_Decoded,72
000284,QPP_Self_Decoded,62
000285,QPP_Self_Decoded,84
000286,QPP_Self_Decoded,52
000287,QPP_Self_Decoded,29
000288,QPP_Self_Decoded,71
000289,QPP_Self_Decoded,49
000290,QPP_Self_Decoded,81
000291,QPP_Self_Decoded,79
000292,QPP_Self_Decoded,78
000293,QPP_Self_Decoded,70
000294,QPP_Self_Decoded,89
000295,QPP_Self_Decoded,57
000296,QPP_Self_Decoded,50
000297,QPP_Self_Decoded,74
000298,QPP_Self_Decoded,70
000299,QPP_Self_Decoded,51
